RT,10,10,5,0,10,10,10,10,10,5,0,10,10,10,10,10,5,0,10,10,10,10,10,5,0,10,10,10,10,10
MR,9,9,9,0,9,9,9,9,9,0,0,9,9,9,9,9,9,0,9,9,9,9,9,0,0,9,9,9,9,9
TV,3,3,3,0,3,3,3,3,3,0,0,3,3,3,3,3,3,0,3,3,3,3,3,0,0,3,3,3,3,3
KS,5,5,4,0,5,5,5,5,5,0,0,5,5,5,5,5,4,0,5,5,5,5,5,0,0,5,5,5,5,5
NM,4,4,2,0,4,4,3,4,4,0,0,4,4,3,4,4,2,0,4,4,3,4,4,0,0,4,4,3,4,4
XP,5,5,5,0,5,5,5,6,5,0,0,5,5,6,5,5,5,0,5,5,5,5,6,0,0,5,5,5,5,6
MG,2,2,0,0,2,2,2,2,2,0,0,2,2,2,2,2,0,0,2,2,2,2,2,0,0,2,2,2,2,2
MT,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,8,8,8,0,8,8,8,8,8,0,0,8,8,8,8,8,8,0,8,8,8,8,8,0,0,8,8,8,8,8
XO,6,6,6,0,6,6,6,6,6,0,0,6,6,6,6,6,6,0,6,6,6,6,6,0,0,6,6,6,6,6
AG,5,5,4,0,5,5,5,5,5,0,0,5,5,5,5,5,4,0,5,5,5,5,5,0,0,5,5,5,5,5
FR,2,2,5,0,3,3,4,3,2,0,0,3,2,2,3,3,5,0,3,3,2,3,3,0,0,3,2,2,2,2
